26 48
4 32
21 9
33 0
13 19
58 28
37 29
31 49
0 34
36 29
31 41
40 27
58 59
17 15
28 37
33 40
38 42
41 51
53 44
19 9
2 33
37 21
15 6
63 63
25 38
24 46
49 24
55 29
25 10
34 53
26 40
32 51
12 16
62 34
5 3
41 0
49 3
16 42
46 27
48 1
38 1
12 3
28 8
45 26
45 58
7 5
30 36
0 0
38 20
62 42
29 43
29 6
54 22
16 3
53 28
49 35
37 46
40 15
33 51
23 53
52 35
29 17
56 42
63 42
38 28
62 0
23 20
31 15
21 50
34 44
14 6
58 43
60 44
26 17
44 58
35 34
42 62
61 26
35 13
52 23
31 31
17 2
50 32
27 7
60 24
48 18
30 10
24 38
19 46
45 8
35 1
30 49
36 17
43 16
25 51
55 43
48 33
27 37
42 18
39 3
59 1
19 19
60 32
63 28
54 36
36 3
37 55
43 2
2 62
20 11
27 52
28 46
39 21
44 47
16 17
1 3
8 53
34 12
11 19
50 4
20 41
47 24
36 40
33 11
14 14
26 8
44 28
4 1
31 5
51 22
3 62
7 61
44 8
32 30
20 22
41 43
