42 20
2 17
28 39
42 27
29 13
27 34
0 51
49 62
44 22
0 7
37 29
2 24
50 47
50 17
34 3
12 33
40 57
12 3
42 24
48 1
62 39
48 43
29 57
1 22
9 1
4 49
33 0
36 25
14 4
15 13
28 7
54 19
4 14
32 14
39 50
12 6
43 33
33 2
11 7
51 4
63 21
62 38
13 24
13 28
46 63
53 21
1 13
6 23
15 49
32 58
40 58
33 59
35 6
52 27
3 9
15 5
5 60
48 26
8 37
62 19
39 51
62 2
36 22
14 9
59 45
54 5
37 38
41 37
5 20
41 0
9 36
7 59
15 15
12 19
25 52
26 54
28 5
10 12
40 53
31 1
50 23
14 27
7 53
57 43
63 37
53 12
0 52
56 28
4 11
26 37
25 51
40 52
51 14
46 46
52 0
3 6
18 61
26 55
39 26
31 11
60 23
49 6
7 8
23 32
49 8
51 20
40 31
13 17
19 25
32 60
33 17
22 59
17 26
46 30
57 3
54 7
