13 20
52 48
48 17
51 2
38 12
33 58
26 52
3 58
32 47
3 22
14 58
52 4
8 2
34 60
27 7
8 20
50 48
2 55
62 52
4 49
19 29
27 20
0 7
16 27
40 30
52 58
22 17
9 32
36 11
5 19
30 55
47 50
46 13
41 57
7 26
0 25
48 9
16 35
11 23
20 52
36 23
55 58
56 52
57 3
17 3
58 24
25 44
17 17
61 21
18 53
33 46
1 12
15 20
36 3
62 9
26 61
6 62
55 49
39 58
25 5
10 22
48 32
62 23
16 53
35 24
43 49
39 13
62 43
0 52
42 47
19 60
10 32
42 29
41 2
25 15
3 48
39 40
61 58
40 16
12 30
53 49
22 44
11 33
35 40
2 63
60 63
51 52
50 61
34 15
42 7
41 10
1 48
20 6
28 21
33 38
15 63
59 31
6 24
44 62
12 51
43 4
56 26
51 12
30 15
31 21
48 46
38 37
33 5
16 14
59 0
23 59
24 23
50 22
29 5
6 34
6 49
27 53
63 16
25 24
13 61
52 35
39 4
24 63
10 60
60 15
18 32
57 46
14 4
9 48
47 24
62 33
31 4
45 9
20 18
44 28
26 15
56 60
43 39
16 5
32 11
40 3
54 55
31 12
37 25
49 5
58 42
8 12
31 38
19 18
0 16
8 33
50 6
54 11
1 31
17 59
31 48
53 12
60 7
38 20
61 38
0 37
46 29
10 4
58 0
52 20
2 23
21 58
4 27
46 53
21 25
18 22
46 37
54 24
49 36
34 26
21 35
37 7
22 26
62 1
59 50
47 34
2 47
42 59
44 49
44 14
41 26
23 49
45 21
27 63
51 21
24 8
39 26
55 37
37 40
25 36
29 18
63 5
29 40
24 48
32 25
17 39
12 63
58 55
20 28
22 55
49 60
5 48
14 21
31 59
35 61
55 12
23 4
12 12
22 36
63 32
35 16
14 32
11 44
32 38
15 51
42 21
57 59
25 57
27 36
63 51
30 25
29 49
38 46
41 40
45 61
5 7
56 17
45 43
23 17
28 0
43 60
13 28
36 35
57 35
60 54
7 18
38 2
56 6
63 60
48 58
40 52
23 36
36 55
61 49
60 34
4 19
46 0
53 1
19 4
7 4
34 50
4 58
7 48
58 9
22 8
11 55
53 33
4 8
57 22
49 47
49 20
59 9
32 0
26 6
63 41
44 6
59 41
6 6
61 4
11 5
38 29
30 47
3 13
47 42
61 30
58 33
12 21
34 5
17 26
45 51
9 63
54 36
7 34
55 29
3 2
10 13
29 61
55 21
15 33
9 10
28 48
35 6
47 5
37 62
53 22
37 49
43 29
36 46
51 37
47 15
59 22
9 18
44 40
35 48
55 2
24 38
21 47
45 29
63 24
28 40
34 40
1 2
33 18
4 35
19 37
3 30
